Printing schedules for 2023Q1   Current Date: 2023-8-25, 21:51:37

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
19h	  -  		  -  		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	IA 12T		  -  		  -  		IA 12L		  -  		
10h	  -  		IA 12T		A 11T		A 11L		  -  		
11h	  -  		IA 12T		A 11T		A 11L		  -  		
12h	TC 11L		  -  		  -  		TC 11L		  -  		
13h	TC 11L		  -  		  -  		TC 11L		  -  		
14h	PAR 41T		PROP 41T	  -  		  -  		  -  		
15h	PAR 41T		PROP 41T	PAR 41L		  -  		  -  		
16h	  -  		  -  		PAR 41L		  -  		  -  		
17h	  -  		  -  		PROP 41L	  -  		  -  		
18h	  -  		  -  		PROP 41L	  -  		  -  		
19h	  -  		  -  		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	IA 12T		  -  		  -  		IA 12L		  -  		
10h	  -  		IA 12T		A 11T		A 11L		  -  		
11h	  -  		IA 12T		A 11T		A 11L		  -  		
12h	TC 11L		  -  		  -  		TC 11L		  -  		
13h	TC 11L		  -  		  -  		TC 11L		  -  		
14h	G 22T		PROP 41T	  -  		  -  		  -  		
15h	G 22T		PROP 41T	G 22L		  -  		  -  		
16h	  -  		  -  		G 22L		  -  		  -  		
17h	  -  		  -  		PROP 41L	  -  		  -  		
18h	  -  		  -  		PROP 41L	  -  		  -  		
19h	  -  		  -  		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	PAR 22T		PAR 22L		A 13T		  -  		  -  		
11h	PAR 22T		PAR 22L		A 13T		  -  		  -  		
12h	A 13L		PROP 23T	  -  		PROP 23L	  -  		
13h	A 13L		PROP 23T	  -  		PROP 23L	  -  		
14h	G 22T		  -  		  -  		  -  		  -  		
15h	G 22T		  -  		G 22L		  -  		  -  		
16h	  -  		TC 22L		G 22L		TC 22L		  -  		
17h	  -  		TC 22L		  -  		TC 22L		  -  		
18h	  -  		  -  		  -  		  -  		  -  		
19h	  -  		  -  		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		PROP 21L	  -  		  -  		
9h	  -  		  -  		PROP 21L	  -  		  -  		
10h	  -  		  -  		  -  		  -  		  -  		
11h	  -  		  -  		  -  		  -  		  -  		
12h	  -  		PROP 21T	  -  		  -  		  -  		
13h	  -  		PROP 21T	  -  		  -  		  -  		
14h	  -  		LP 21L		  -  		LI 21L		LP 21T		
15h	  -  		LP 21L		  -  		LI 21L		LP 21T		
16h	A 22T		TC 22L		  -  		TC 22L		LI 21T		
17h	A 22T		TC 22L		  -  		TC 22L		LI 21T		
18h	  -  		  -  		  -  		A 22L		  -  		
19h	  -  		  -  		  -  		A 22L		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	PROP 13T	  -  		A 13T		  -  		PROP 13L	
11h	PROP 13T	  -  		A 13T		  -  		PROP 13L	
12h	A 13L		  -  		  -  		  -  		  -  		
13h	A 13L		  -  		  -  		  -  		  -  		
14h	PAR 41T		LP 21L		  -  		  -  		LP 21T		
15h	PAR 41T		LP 21L		PAR 41L		  -  		LP 21T		
16h	  -  		  -  		PAR 41L		  -  		  -  		
17h	  -  		  -  		  -  		  -  		  -  		
18h	  -  		TC 21L		  -  		  -  		  -  		
19h	  -  		TC 21L		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	PROP 13T	  -  		A 13T		  -  		PROP 13L	
11h	PROP 13T	  -  		A 13T		  -  		PROP 13L	
12h	A 13L		  -  		  -  		  -  		  -  		
13h	A 13L		  -  		  -  		  -  		  -  		
14h	G 22T		LP 21L		  -  		  -  		LP 21T		
15h	G 22T		LP 21L		G 22L		  -  		LP 21T		
16h	  -  		  -  		G 22L		  -  		  -  		
17h	  -  		  -  		  -  		  -  		  -  		
18h	  -  		TC 21L		  -  		  -  		  -  		
19h	  -  		TC 21L		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	PROP 13T	  -  		  -  		  -  		PROP 13L	
11h	PROP 13T	  -  		  -  		  -  		PROP 13L	
12h	  -  		LI 12L		  -  		  -  		LI 12T		
13h	  -  		LI 12L		  -  		  -  		LI 12T		
14h	PAR 42T		  -  		  -  		  -  		  -  		
15h	PAR 42T		  -  		  -  		PAR 42L		  -  		
16h	A 22T		  -  		  -  		PAR 42L		  -  		
17h	A 22T		  -  		  -  		  -  		  -  		
18h	  -  		TC 21L		  -  		A 22L		  -  		
19h	  -  		TC 21L		  -  		A 22L		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	  -  		  -  		A 14T		PROP 33L	  -  		
11h	  -  		  -  		A 14T		PROP 33L	  -  		
12h	PROP 33T	  -  		  -  		A 14L		  -  		
13h	PROP 33T	  -  		  -  		A 14L		  -  		
14h	PAR 41T		  -  		  -  		  -  		  -  		
15h	PAR 41T		  -  		PAR 41L		  -  		  -  		
16h	  -  		IA 21T		PAR 41L		  -  		  -  		
17h	  -  		  -  		  -  		  -  		  -  		
18h	IA 21T		TC 21L		IA 21L		  -  		  -  		
19h	IA 21T		TC 21L		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	  -  		  -  		A 13T		  -  		  -  		
11h	  -  		  -  		A 13T		  -  		  -  		
12h	A 13L		LI 12L		  -  		  -  		LI 12T		
13h	A 13L		LI 12L		  -  		  -  		LI 12T		
14h	PAR 43T		PROP 41T	  -  		  -  		PAR 43L		
15h	PAR 43T		PROP 41T	  -  		  -  		PAR 43L		
16h	  -  		  -  		  -  		  -  		  -  		
17h	  -  		  -  		PROP 41L	  -  		  -  		
18h	  -  		TC 21L		PROP 41L	  -  		  -  		
19h	  -  		TC 21L		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	  -  		  -  		A 14T		PROP 33L	  -  		
11h	  -  		  -  		A 14T		PROP 33L	  -  		
12h	PROP 33T	  -  		  -  		A 14L		  -  		
13h	PROP 33T	  -  		  -  		A 14L		  -  		
14h	G 22T		  -  		  -  		  -  		  -  		
15h	G 22T		  -  		G 22L		  -  		  -  		
16h	  -  		IA 21T		G 22L		  -  		  -  		
17h	  -  		  -  		  -  		  -  		  -  		
18h	IA 21T		TC 21L		IA 21L		  -  		  -  		
19h	IA 21T		TC 21L		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	  -  		  -  		A 11T		A 11L		  -  		
11h	  -  		  -  		A 11T		A 11L		  -  		
12h	  -  		PROP 23T	  -  		PROP 23L	  -  		
13h	  -  		PROP 23T	  -  		PROP 23L	  -  		
14h	PAR 41T		  -  		  -  		  -  		  -  		
15h	PAR 41T		  -  		PAR 41L		  -  		  -  		
16h	  -  		IA 22T		PAR 41L		  -  		  -  		
17h	  -  		  -  		IA 22L		  -  		  -  		
18h	IA 22T		TC 21L		  -  		  -  		  -  		
19h	IA 22T		TC 21L		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	  -  		  -  		A 12T		  -  		A 12L		
11h	  -  		  -  		A 12T		  -  		A 12L		
12h	  -  		PROP 22T	  -  		  -  		PROP 22L	
13h	  -  		PROP 22T	  -  		  -  		PROP 22L	
14h	G 22T		  -  		  -  		  -  		  -  		
15h	G 22T		  -  		G 22L		  -  		  -  		
16h	  -  		IA 22T		G 22L		  -  		  -  		
17h	  -  		  -  		IA 22L		  -  		  -  		
18h	IA 22T		TC 21L		  -  		  -  		  -  		
19h	IA 22T		TC 21L		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	  -  		  -  		A 11T		A 11L		  -  		
11h	  -  		  -  		A 11T		A 11L		  -  		
12h	  -  		PROP 23T	  -  		PROP 23L	  -  		
13h	  -  		PROP 23T	  -  		PROP 23L	  -  		
14h	G 22T		  -  		  -  		  -  		  -  		
15h	G 22T		  -  		G 22L		  -  		  -  		
16h	  -  		IA 22T		G 22L		  -  		  -  		
17h	  -  		  -  		IA 22L		  -  		  -  		
18h	IA 22T		TC 21L		  -  		  -  		  -  		
19h	IA 22T		TC 21L		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	  -  		  -  		A 11T		A 11L		  -  		
11h	  -  		  -  		A 11T		A 11L		  -  		
12h	TC 11L		  -  		  -  		TC 11L		  -  		
13h	TC 11L		  -  		  -  		TC 11L		  -  		
14h	PAR 42T		PROP 43T	  -  		  -  		  -  		
15h	PAR 42T		PROP 43T	PROP 43L	PAR 42L		  -  		
16h	  -  		IA 22T		PROP 43L	PAR 42L		  -  		
17h	  -  		  -  		IA 22L		  -  		  -  		
18h	IA 22T		  -  		  -  		  -  		  -  		
19h	IA 22T		  -  		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	PAR 22T		PAR 22L		  -  		  -  		PROP 32L	
11h	PAR 22T		PAR 22L		  -  		  -  		PROP 32L	
12h	PROP 32T	  -  		  -  		  -  		  -  		
13h	PROP 32T	  -  		  -  		  -  		  -  		
14h	  -  		LP 21L		  -  		  -  		LP 21T		
15h	  -  		LP 21L		  -  		  -  		LP 21T		
16h	A 22T		TC 22L		  -  		TC 22L		  -  		
17h	A 22T		TC 22L		  -  		TC 22L		  -  		
18h	  -  		  -  		  -  		A 22L		  -  		
19h	  -  		  -  		  -  		A 22L		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	TC 12L		  -  		  -  		TC 12L		  -  		
11h	TC 12L		  -  		  -  		TC 12L		  -  		
12h	  -  		PROP 22T	  -  		  -  		PROP 22L	
13h	  -  		PROP 22T	  -  		  -  		PROP 22L	
14h	PAR 42T		LP 21L		  -  		  -  		LP 21T		
15h	PAR 42T		LP 21L		  -  		PAR 42L		LP 21T		
16h	A 22T		  -  		  -  		PAR 42L		  -  		
17h	A 22T		  -  		  -  		  -  		  -  		
18h	  -  		  -  		  -  		A 22L		  -  		
19h	  -  		  -  		  -  		A 22L		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	  -  		  -  		A 12T		  -  		A 12L		
11h	  -  		  -  		A 12T		  -  		A 12L		
12h	  -  		PROP 22T	  -  		  -  		PROP 22L	
13h	  -  		PROP 22T	  -  		  -  		PROP 22L	
14h	PAR 41T		  -  		  -  		  -  		  -  		
15h	PAR 41T		  -  		PAR 41L		  -  		  -  		
16h	  -  		IA 22T		PAR 41L		  -  		  -  		
17h	  -  		  -  		IA 22L		  -  		  -  		
18h	IA 22T		TC 21L		  -  		  -  		  -  		
19h	IA 22T		TC 21L		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	TC 12L		  -  		  -  		TC 12L		  -  		
11h	TC 12L		  -  		  -  		TC 12L		  -  		
12h	  -  		PROP 22T	  -  		  -  		PROP 22L	
13h	  -  		PROP 22T	  -  		  -  		PROP 22L	
14h	  -  		LP 21L		  -  		LI 21L		LP 21T		
15h	  -  		LP 21L		  -  		LI 21L		LP 21T		
16h	A 21T		  -  		  -  		A 21L		LI 21T		
17h	A 21T		  -  		  -  		A 21L		LI 21T		
18h	  -  		  -  		  -  		  -  		  -  		
19h	  -  		  -  		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	  -  		  -  		  -  		PROP 33L	  -  		
11h	  -  		  -  		  -  		PROP 33L	  -  		
12h	PROP 33T	LI 12L		  -  		  -  		LI 12T		
13h	PROP 33T	LI 12L		  -  		  -  		LI 12T		
14h	  -  		LP 21L		  -  		  -  		LP 21T		
15h	  -  		LP 21L		  -  		  -  		LP 21T		
16h	A 22T		TC 22L		  -  		TC 22L		  -  		
17h	A 22T		TC 22L		  -  		TC 22L		  -  		
18h	  -  		  -  		  -  		A 22L		  -  		
19h	  -  		  -  		  -  		A 22L		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	IA 12T		  -  		  -  		IA 12L		  -  		
10h	  -  		IA 12T		  -  		  -  		  -  		
11h	  -  		IA 12T		  -  		  -  		  -  		
12h	TC 11L		PROP 22T	  -  		TC 11L		PROP 22L	
13h	TC 11L		PROP 22T	  -  		TC 11L		PROP 22L	
14h	  -  		LP 21L		  -  		  -  		LP 21T		
15h	  -  		LP 21L		  -  		  -  		LP 21T		
16h	A 22T		  -  		  -  		  -  		  -  		
17h	A 22T		  -  		  -  		  -  		  -  		
18h	  -  		  -  		  -  		A 22L		  -  		
19h	  -  		  -  		  -  		A 22L		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	  -  		  -  		  -  		PROP 33L	  -  		
11h	  -  		  -  		  -  		PROP 33L	  -  		
12h	PROP 33T	LI 12L		  -  		  -  		LI 12T		
13h	PROP 33T	LI 12L		  -  		  -  		LI 12T		
14h	PAR 43T		  -  		  -  		  -  		PAR 43L		
15h	PAR 43T		  -  		  -  		  -  		PAR 43L		
16h	A 22T		TC 22L		  -  		TC 22L		  -  		
17h	A 22T		TC 22L		  -  		TC 22L		  -  		
18h	  -  		  -  		  -  		A 22L		  -  		
19h	  -  		  -  		  -  		A 22L		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	  -  		  -  		A 13T		  -  		  -  		
11h	  -  		  -  		A 13T		  -  		  -  		
12h	A 13L		  -  		  -  		  -  		  -  		
13h	A 13L		  -  		  -  		  -  		  -  		
14h	PAR 43T		PROP 43T	  -  		LI 21L		PAR 43L		
15h	PAR 43T		PROP 43T	PROP 43L	LI 21L		PAR 43L		
16h	  -  		TC 22L		PROP 43L	TC 22L		LI 21T		
17h	  -  		TC 22L		  -  		TC 22L		LI 21T		
18h	  -  		  -  		  -  		  -  		  -  		
19h	  -  		  -  		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	  -  		  -  		  -  		  -  		  -  		
11h	  -  		  -  		  -  		  -  		  -  		
12h	  -  		  -  		  -  		  -  		  -  		
13h	  -  		  -  		  -  		  -  		  -  		
14h	PAR 43T		PROP 43T	  -  		  -  		PAR 43L		
15h	PAR 43T		PROP 43T	PROP 43L	  -  		PAR 43L		
16h	A 21T		IA 22T		PROP 43L	A 21L		  -  		
17h	A 21T		  -  		IA 22L		A 21L		  -  		
18h	IA 22T		TC 21L		  -  		  -  		  -  		
19h	IA 22T		TC 21L		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	  -  		  -  		  -  		  -  		  -  		
11h	  -  		  -  		  -  		  -  		  -  		
12h	  -  		  -  		  -  		  -  		  -  		
13h	  -  		  -  		  -  		  -  		  -  		
14h	PAR 43T		PROP 43T	  -  		  -  		PAR 43L		
15h	PAR 43T		PROP 43T	PROP 43L	  -  		PAR 43L		
16h	A 22T		IA 22T		PROP 43L	  -  		  -  		
17h	A 22T		  -  		IA 22L		  -  		  -  		
18h	IA 22T		TC 21L		  -  		A 22L		  -  		
19h	IA 22T		TC 21L		  -  		A 22L		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	  -  		  -  		  -  		  -  		  -  		
11h	  -  		  -  		  -  		  -  		  -  		
12h	  -  		PROP 22T	  -  		  -  		PROP 22L	
13h	  -  		PROP 22T	  -  		  -  		PROP 22L	
14h	PAR 43T		  -  		  -  		LI 21L		PAR 43L		
15h	PAR 43T		  -  		  -  		LI 21L		PAR 43L		
16h	A 22T		  -  		  -  		  -  		LI 21T		
17h	A 22T		  -  		  -  		  -  		LI 21T		
18h	  -  		TC 21L		  -  		A 22L		  -  		
19h	  -  		TC 21L		  -  		A 22L		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	  -  		  -  		  -  		PROP 33L	  -  		
11h	  -  		  -  		  -  		PROP 33L	  -  		
12h	PROP 33T	  -  		  -  		  -  		  -  		
13h	PROP 33T	  -  		  -  		  -  		  -  		
14h	  -  		LP 21L		  -  		LI 21L		LP 21T		
15h	  -  		LP 21L		  -  		LI 21L		LP 21T		
16h	A 21T		  -  		  -  		A 21L		LI 21T		
17h	A 21T		  -  		  -  		A 21L		LI 21T		
18h	  -  		TC 21L		  -  		  -  		  -  		
19h	  -  		TC 21L		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	  -  		  -  		  -  		  -  		  -  		
11h	  -  		  -  		  -  		  -  		  -  		
12h	  -  		PROP 23T	  -  		PROP 23L	  -  		
13h	  -  		PROP 23T	  -  		PROP 23L	  -  		
14h	PAR 43T		  -  		  -  		LI 21L		PAR 43L		
15h	PAR 43T		  -  		  -  		LI 21L		PAR 43L		
16h	A 22T		  -  		  -  		  -  		LI 21T		
17h	A 22T		  -  		  -  		  -  		LI 21T		
18h	  -  		TC 21L		  -  		A 22L		  -  		
19h	  -  		TC 21L		  -  		A 22L		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	  -  		  -  		  -  		  -  		PROP 32L	
11h	  -  		  -  		  -  		  -  		PROP 32L	
12h	PROP 32T	  -  		  -  		  -  		  -  		
13h	PROP 32T	  -  		  -  		  -  		  -  		
14h	  -  		LP 21L		  -  		LI 21L		LP 21T		
15h	  -  		LP 21L		  -  		LI 21L		LP 21T		
16h	A 21T		  -  		  -  		A 21L		LI 21T		
17h	A 21T		  -  		  -  		A 21L		LI 21T		
18h	  -  		TC 21L		  -  		  -  		  -  		
19h	  -  		TC 21L		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	PAR 21T		  -  		PAR 21L		  -  		  -  		
11h	PAR 21T		  -  		PAR 21L		  -  		  -  		
12h	  -  		  -  		  -  		  -  		  -  		
13h	  -  		  -  		  -  		  -  		  -  		
14h	G 22T		PROP 41T	  -  		  -  		  -  		
15h	G 22T		PROP 41T	G 22L		  -  		  -  		
16h	A 22T		TC 22L		G 22L		TC 22L		  -  		
17h	A 22T		TC 22L		PROP 41L	TC 22L		  -  		
18h	  -  		  -  		PROP 41L	A 22L		  -  		
19h	  -  		  -  		  -  		A 22L		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	  -  		  -  		A 14T		  -  		  -  		
11h	  -  		  -  		A 14T		  -  		  -  		
12h	  -  		  -  		  -  		A 14L		  -  		
13h	  -  		  -  		  -  		A 14L		  -  		
14h	PAR 42T		PROP 43T	  -  		  -  		  -  		
15h	PAR 42T		PROP 43T	PROP 43L	PAR 42L		  -  		
16h	  -  		IA 22T		PROP 43L	PAR 42L		  -  		
17h	  -  		  -  		IA 22L		  -  		  -  		
18h	IA 22T		TC 21L		  -  		  -  		  -  		
19h	IA 22T		TC 21L		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	IA 12T		  -  		  -  		IA 12L		  -  		
10h	TC 12L		IA 12T		A 13T		TC 12L		  -  		
11h	TC 12L		IA 12T		A 13T		TC 12L		  -  		
12h	A 13L		PROP 22T	  -  		  -  		PROP 22L	
13h	A 13L		PROP 22T	  -  		  -  		PROP 22L	
14h	G 22T		  -  		  -  		  -  		  -  		
15h	G 22T		  -  		G 22L		  -  		  -  		
16h	  -  		  -  		G 22L		  -  		  -  		
17h	  -  		  -  		  -  		  -  		  -  		
18h	  -  		  -  		  -  		  -  		  -  		
19h	  -  		  -  		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	IA 12T		  -  		  -  		IA 12L		  -  		
10h	TC 12L		IA 12T		A 13T		TC 12L		  -  		
11h	TC 12L		IA 12T		A 13T		TC 12L		  -  		
12h	A 13L		PROP 22T	  -  		  -  		PROP 22L	
13h	A 13L		PROP 22T	  -  		  -  		PROP 22L	
14h	PAR 41T		  -  		  -  		  -  		  -  		
15h	PAR 41T		  -  		PAR 41L		  -  		  -  		
16h	  -  		  -  		PAR 41L		  -  		  -  		
17h	  -  		  -  		  -  		  -  		  -  		
18h	  -  		  -  		  -  		  -  		  -  		
19h	  -  		  -  		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	IA 13T		  -  		  -  		  -  		  -  		
10h	  -  		IA 13T		  -  		IA 13L		  -  		
11h	  -  		IA 13T		  -  		  -  		  -  		
12h	TC 11L		PROP 22T	  -  		TC 11L		PROP 22L	
13h	TC 11L		PROP 22T	  -  		TC 11L		PROP 22L	
14h	  -  		  -  		  -  		LI 21L		  -  		
15h	  -  		  -  		  -  		LI 21L		  -  		
16h	A 21T		  -  		  -  		A 21L		LI 21T		
17h	A 21T		  -  		  -  		A 21L		LI 21T		
18h	  -  		  -  		  -  		  -  		  -  		
19h	  -  		  -  		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		  -  		  -  		
9h	  -  		  -  		  -  		  -  		  -  		
10h	  -  		  -  		A 12T		  -  		A 12L		
11h	  -  		  -  		A 12T		  -  		A 12L		
12h	  -  		LI 12L		  -  		  -  		LI 12T		
13h	  -  		LI 12L		  -  		  -  		LI 12T		
14h	  -  		PROP 43T	  -  		  -  		  -  		
15h	  -  		PROP 43T	PROP 43L	  -  		  -  		
16h	  -  		IA 21T		PROP 43L	  -  		  -  		
17h	  -  		  -  		  -  		  -  		  -  		
18h	IA 21T		TC 21L		IA 21L		  -  		  -  		
19h	IA 21T		TC 21L		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		  -  		  -  		PAR 23L		  -  		
9h	IA 13T		  -  		  -  		PAR 23L		  -  		
10h	PAR 23T		IA 13T		  -  		IA 13L		  -  		
11h	PAR 23T		IA 13T		  -  		  -  		  -  		
12h	  -  		PROP 23T	  -  		PROP 23L	  -  		
13h	  -  		PROP 23T	  -  		PROP 23L	  -  		
14h	  -  		  -  		  -  		  -  		  -  		
15h	  -  		  -  		  -  		  -  		  -  		
16h	A 21T		  -  		  -  		A 21L		  -  		
17h	A 21T		  -  		  -  		A 21L		  -  		
18h	  -  		TC 21L		  -  		  -  		  -  		
19h	  -  		TC 21L		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		G 12T		LP 12L		G 12L		LP 12T		
9h	  -  		G 12T		LP 12L		G 12L		LP 12T		
10h	  -  		  -  		A 12T		  -  		A 12L		
11h	  -  		  -  		A 12T		  -  		A 12L		
12h	TC 11L		PROP 22T	  -  		TC 11L		PROP 22L	
13h	TC 11L		PROP 22T	  -  		TC 11L		PROP 22L	
14h	  -  		  -  		  -  		  -  		  -  		
15h	  -  		  -  		  -  		  -  		  -  		
16h	  -  		  -  		  -  		  -  		  -  		
17h	  -  		  -  		  -  		  -  		  -  		
18h	  -  		  -  		  -  		  -  		  -  		
19h	  -  		  -  		  -  		  -  		  -  		
20h	  -  		  -  		  -  		  -  		  -  		

	Dilluns		Dimarts		Dimecres	Dijous		Divendres
8h	  -  		G 12T		LP 12L		G 12L		LP 12T		
9h	  -  		G 12T		LP 12L		G 12L		LP 12T		
10h	  -  		  -  		A 11T		A 11L		  -  		
11h	  -  		  -  		A 11T		A 11L		  -  		
